Value
"						STEAM TRAP"
"** SPECIAL FITTING **  CAP .688"" WALL LOTEMP STL A420 WPL6 ASME B16.9"
"** SPECIAL FITTING ** CAP .625"" WALL LOTEMP STL A420 WPL6 ASME B16.9"
"** SPECIAL FITTING ** ELL 45 DEG 0.625"" WALL A403 WP304H-WX 100%RT"
"** SPECIAL FITTING ** ELL 60 .625"" WALL A403 WP304H-WX 100%RT"
"** SPECIAL FITTING ** ELL 90 DEG LR .688"" WALL LOTEMP STL A420 WPL6-W 100%RT ASME B16.9"
"** SPECIAL FITTING ** ELL 90 DEG LR .750"" WALL LOTEMP STL A420 WPL6-W 100%RT ASME B16.9"
"** SPECIAL FITTING ** ELL 90 DEG LR .875"" WALL LOTEMP STL A420 WPL6-W 100%RT ASME B16.9"
"** SPECIAL FITTING ** ELL 90 DEG SR .625"" WALL LOTEMP STL A420 WPL6-W 100%RT ASME B16.9"
"** SPECIAL FITTING ** ELL 90 DEG SR .688"" WALL LOTEMP STL A420 WPL6-W 100%RT ASME B16.9"
"** SPECIAL FITTING ** ELL 90 LR 0.625"" WALL A403 WP304H-WX 100%RT"
"** SPECIAL FITTING ** REDUCER CONC .750"" WALL X .562"" WALL LOTEMP STL A420 WPL6-W 100%RT"
"** SPECIAL FITTING ** REDUCER ECC .500"" WALL LOTEMP STL A420 WPL6-W 100%RT"
"** SPECIAL FITTING ** REDUCER ECC .688"" WALL X 0.500"" WALL A403 WP304H-WX 100%RT"
"** SPECIAL FITTING ** REDUCER ECC .688"" WALL X 0.625"" WALL A403 WP304H-WX 100%RT"
"** SPECIAL FITTING ** REDUCER ECC .688"" WALL X SCH 80S A403 WP304H-WX 100%RT"
"** SPECIAL FITTING ** REDUCER ECC .875"" WALL LOTEMP STL A420 WPL6-W 100%RT"
"** SPECIAL FITTING ** REDUCER ECC 0.625"" WALL X 0.500"" WALL A403 WP304H-WX 100%RT"
"** SPECIAL FITTING ** TEE .625"" WALL LOTEMP STL A420 WPL6-W ASME B16,9"
"0.38 in Plate Steel, 11.81 in X 4.00 in"
"0.38 in Plate Steel, 11.81 in X 4.38 in"
"0.38 in Plate Steel, 11.81 in X 4.55 in"
"0.38 in Plate Steel, 11.81 in X 5.43 in"
"0.38 in Plate Steel, 11.81 in X 5.91 in"
"0.38 in Plate Steel, 12.01 in X 10.35 in"
"0.38 in Plate Steel, 12.01 in X 2.87 in"
"0.38 in Plate Steel, 12.01 in X 3.23 in"
"0.38 in Plate Steel, 12.01 in X 3.35 in"
"0.38 in Plate Steel, 12.01 in X 3.62 in"
"0.38 in Plate Steel, 12.01 in X 3.66 in"
"0.38 in Plate Steel, 12.01 in X 4.00 in"
"0.38 in Plate Steel, 12.01 in X 4.02 in"
"0.38 in Plate Steel, 12.01 in X 5.71 in"
"0.38 in Plate Steel, 12.52 in X 4.00 in"
"0.38 in Plate Steel, 15.75 in X 9.84 in"
"0.38 in Plate Steel, 17.99 in X 10.35 in"
"0.38 in Plate Steel, 17.99 in X 10.71 in"
"0.38 in Plate Steel, 17.99 in X 3.86 in"
"0.38 in Plate Steel, 17.99 in X 4.00 in"
"0.38 in Plate Steel, 17.99 in X 4.02 in"
"0.38 in Plate Steel, 17.99 in X 4.17 in"
"0.38 in Plate Steel, 17.99 in X 5.59 in"
"0.38 in Plate Steel, 17.99 in X 5.94 in"
"0.38 in Plate Steel, 2.01 in X 4.00 in"
"0.38 in Plate Steel, 2.95 in X 0.98 in"
"0.38 in Plate Steel, 2.95 in X 7.09 in"
"0.38 in Plate Steel, 2.99 in X 0.98 in"
"0.38 in Plate Steel, 2.99 in X 12.00 in"
"0.38 in Plate Steel, 2.99 in X 13.70 in"
"0.38 in Plate Steel, 3.03 in X 8.86 in"
"0.38 in Plate Steel, 3.15 in X 3.15 in"
"0.38 in Plate Steel, 3.17 in X 12.52 in"
"0.38 in Plate Steel, 3.23 in X 2.99 in"
"0.38 in Plate Steel, 3.62 in X 12.01 in"
"0.38 in Plate Steel, 3.94 in X 1.97 in"
"0.38 in Plate Steel, 3.94 in X 2.95 in"
"0.38 in Plate Steel, 3.94 in X 8.66 in"
"0.38 in Plate Steel, 4.02 in X 2.01 in"
"0.38 in Plate Steel, 4.02 in X 2.99 in"
"0.38 in Plate Steel, 4.02 in X 4.02 in"
"0.38 in Plate Steel, 4.17 in X 17.99 in"
"0.38 in Plate Steel, 4.33 in X 4.33 in"
"0.38 in Plate Steel, 4.53 in X 4.53 in"
"0.38 in Plate Steel, 4.92 in X 4.92 in"
"0.38 in Plate Steel, 5.00 in X 5.00 in"
"0.38 in Plate Steel, 5.91 in X 2.95 in"
"0.38 in Plate Steel, 5.91 in X 3.94 in"
"0.38 in Plate Steel, 5.91 in X 5.91 in"
"0.38 in Plate Steel, 6.22 in X 6.22 in"
"0.38 in Plate Steel, 7.09 in X 7.09 in"
"0.38 in Plate Steel, 7.87 in X 1.97 in"
"0.38 in Plate Steel, 7.87 in X 4.00 in"
"0.38 in Plate Steel, 7.87 in X 5.91 in"
"0.38 in Plate Steel, 7.87 in X 7.87 in"
"0.38 in Plate Steel, 7.91 in X 17.99 in"
"0.38 in Plate Steel, 8.31 in X 17.99 in"
"0.38 in Plate Steel, 9.00 in X 4.00 in"
"0.38 in Plate Steel, 9.00 in X 5.10 in"
"0.38 in Plate Steel, 9.00 in X 9.02 in"
"0.38 in Plate Steel, 9.06 in X 9.06 in"
"0.38 in Plate Steel, 9.84 in X 2.95 in"
"0.50 in Plate Steel, 1.97 in X 1.97 in"
"0.50 in Plate Steel, 1.97 in X 4.92 in"
"0.50 in Plate Steel, 1.97 in X 5.91 in"
"0.50 in Plate Steel, 10.00 in X 10.00 in"
"0.50 in Plate Steel, 10.24 in X 10.24 in"
"0.50 in Plate Steel, 10.63 in X 10.63 in"
"0.50 in Plate Steel, 10.98 in X 10.98 in, 4 eq spaced 0.63 in dia. holes 1.00 in from edges"
"0.50 in Plate Steel, 11.00 in X 11.00 in"
"0.50 in Plate Steel, 11.81 in X 10.91 in"
"0.50 in Plate Steel, 11.81 in X 11.81 in, 4 eq spaced 0.98 in dia. holes 1.00 in from edges"
"0.50 in Plate Steel, 11.81 in X 4.02 in"
"0.50 in Plate Steel, 11.81 in X 7.87 in"
"0.50 in Plate Steel, 12.01 in X 12.01 in"
"0.50 in Plate Steel, 12.60 in X 3.86 in"
"0.50 in Plate Steel, 12.99 in X 12.99 in"
"0.50 in Plate Steel, 13.00 in X 12.99 in"
"0.50 in Plate Steel, 13.78 in X 11.02 in"
"0.50 in Plate Steel, 14.96 in X 6.89 in"
"0.50 in Plate Steel, 15.00 in X 15.00 in"
"0.50 in Plate Steel, 15.75 in X 15.75 in"
"0.50 in Plate Steel, 16.73 in X 12.80 in"
"0.50 in Plate Steel, 16.93 in X 16.93 in"
"0.50 in Plate Steel, 17.01 in X 17.01 in"
"0.50 in Plate Steel, 22.83 in X 17.01 in"
"0.50 in Plate Steel, 23.62 in X 17.01 in"
"0.50 in Plate Steel, 4.00 in X 4.00 in"
"0.50 in Plate Steel, 4.02 in X 4.02 in"
"0.50 in Plate Steel, 5.00 in X 5.00 in"
"0.50 in Plate Steel, 5.91 in X 5.91 in"
"0.50 in Plate Steel, 6.00 in X 6.00 in"
"0.50 in Plate Steel, 6.02 in X 6.02 in"
"0.50 in Plate Steel, 6.50 in X 6.50 in"
"0.50 in Plate Steel, 6.89 in X 6.89 in"
"0.50 in Plate Steel, 6.89 in X 6.89 in, 4 eq spaced 0.50 in dia. holes 1.00 in from edges"
"0.50 in Plate Steel, 7.00 in X 10.00 in"
"0.50 in Plate Steel, 7.00 in X 7.00 in"
"0.50 in Plate Steel, 7.01 in X 7.01 in"
"0.50 in Plate Steel, 7.01 in X 7.01 in, 4 eq spaced 0.50 in dia. holes 0.51 in from edges"
"0.50 in Plate Steel, 7.01 in X 7.01 in, 4 eq spaced 0.50 in dia. holes 0.98 in from edges"
"0.50 in Plate Steel, 7.13 in X 3.11 in"
"0.50 in Plate Steel, 7.87 in X 4.02 in"
"0.50 in Plate Steel, 7.87 in X 4.92 in"
"0.50 in Plate Steel, 7.87 in X 7.87 in"
"0.50 in Plate Steel, 7.99 in X 7.99 in"
"0.50 in Plate Steel, 9.00 in X 4.00 in"
"0.50 in Plate Steel, 9.00 in X 9.00 in"
"0.50 in Plate Steel, 9.00 in X 9.02 in"
"0.50 in Plate Steel, 9.02 in X 9.02 in"
"0.50 in Plate Steel, 9.84 in X 10.91 in"
"0.50 in Plate Steel, 9.84 in X 12.99 in"
"0.50 in Plate Steel, 9.84 in X 7.01 in"
"0.50 in Plate Steel, 9.84 in X 9.84 in"
"0.63 in Plate Steel, 10.00 in X 10.00 in"
"0.63 in Plate Steel, 10.98 in X 10.98 in"
"0.63 in Plate Steel, 11.00 in X 11.00 in"
"0.63 in Plate Steel, 11.02 in X 11.02 in"
"0.63 in Plate Steel, 12.01 in X 12.01 in"
"0.63 in Plate Steel, 12.01 in X 12.01 in, 4 eq spaced 0.87 in dia. holes 1.50 in from edges"
"0.63 in Plate Steel, 12.01 in X 5.98 in"
"0.63 in Plate Steel, 12.99 in X 12.99 in"
"0.63 in Plate Steel, 13.00 in X 13.00 in, 4 eq spaced 0.71 in dia. holes 1.26 in from edges"
"0.63 in Plate Steel, 14.02 in X 14.02 in"
"0.63 in Plate Steel, 14.96 in X 14.96 in"
"0.63 in Plate Steel, 15.00 in X 15.00 in"
"0.63 in Plate Steel, 15.00 in X 21.65 in"
"0.63 in Plate Steel, 2.95 in X 7.01 in"
"0.63 in Plate Steel, 7.00 in X 7.00 in, 4 eq spaced 0.56 in dia. holes 0.88 in from edges"
"0.63 in Plate Steel, 7.87 in X 7.87 in"
"0.63 in Plate Steel, 7.99 in X 7.99 in"
"0.63 in Plate Steel, 7.99 in X 7.99 in, 4 eq spaced 0.50 in dia. holes 1.00 in from edges"
"0.63 in Plate Steel, 8.00 in X 8.00 in"
"0.63 in Plate Steel, 9.00 in X 9.00 in"
"0.63 in Plate Steel, 9.00 in X 9.02 in"
"0.63 in Plate Steel, 9.00 in X 9.02 in, 4 eq spaced 0.69 in dia. holes 1.26 in from edges"
"0.63 in Plate Steel, 9.00 in X 9.02 in, 4 eq spaced 0.71 in dia. holes 1.26 in from edges"
"0.63 in Plate Steel, 9.02 in X 9.02 in"
"0.75 in Plate Steel, 10.00 in X 10.00 in"
"0.75 in Plate Steel, 10.00 in X 10.00 in, 4 eq spaced 0.87 in dia. holes 0.75 in from edges"
"0.75 in Plate Steel, 10.00 in X 10.00 in, 4 eq spaced 0.87 in dia. holes 1.50 in from edges"
"0.75 in Plate Steel, 11.81 in X 4.00 in"
"0.75 in Plate Steel, 11.81 in X 7.87 in"
"0.75 in Plate Steel, 11.81 in X 8.66 in"
"0.75 in Plate Steel, 13.00 in X 12.99 in"
"0.75 in Plate Steel, 15.75 in X 15.75 in"
"0.75 in Plate Steel, 5.91 in X 1.97 in"
"0.75 in Plate Steel, 9.00 in X 4.00 in"
"0.75 in Plate Steel, 9.02 in X 9.02 in, 4 eq spaced 0.50 in dia. holes 1.00 in from edges"
1 1/2 in Hex Nut
1 1/2 in Insulation Protection Shield
"1 1/2 in Rod, Continuous Threaded, RH Thread"
"1 1/2 in Stop Plate, Top End of Steel Section"
"1 1/2 in U-bolt, Standard"
"1 1/2"" Dia Pipe, Sch STD, Material to Match Run Pipe W/7""X7""X  1/2"" THK A36 Plate"
"1 1/2"" Pipe"
"1 1/2"" Pipe SCH, 125x125x10 Carbon Steel Plate, 1 1/2"" Trunnion SCH"
1 1/4 in Hex Nut
1 3/4 in Hex Nut
1 3/8 in Hex Nut
"1 3/8"" Bolt x 6"" LG. C/W Hex Nut"
"1 3/8"" DIA. ROD x 6"" LONG. Pin"
1 in Hex Nut
"1 in U-bolt, Standard"
"1"" Bolt x 6"" LG. C/W Hex Nut"
"1.0 MVA, 4.16kV-0.6kV  TRANSFORMER (EMERGENCY)"
"1.00 in Plate Steel, 11.81 in X 11.81 in"
"1.00 in Plate Steel, 11.81 in X 17.72 in, 4 eq spaced 0.50 in dia. holes 1.00 in from edges"
"1.00 in Plate Steel, 11.81 in X 22.05 in"
"1.00 in Plate Steel, 12.00 in X 12.00 in, 4 eq spaced 0.50 in dia. holes 1.00 in from edges"
"1.00 in Plate Steel, 12.01 in X 12.01 in"
"1.00 in Plate Steel, 12.01 in X 12.01 in, 4 eq spaced 0.87 in dia. holes 1.50 in from edges"
"1.00 in Plate Steel, 12.13 in X 12.13 in, 4 eq spaced 0.87 in dia. holes 1.38 in from edges"
"1.00 in Plate Steel, 12.99 in X 12.99 in"
"1.00 in Plate Steel, 13.78 in X 9.06 in"
"1.00 in Plate Steel, 14.02 in X 14.02 in, 4 eq spaced 1.14 in dia. holes 2.01 in from edges"
"1.00 in Plate Steel, 5.98 in X 5.98 in"
"1.00 in Plate Steel, 9.84 in X 15.98 in"
"1.25 in Plate Steel, 12.01 in X 12.01 in"
"1.50 in Plate Steel, 14.02 in X 14.02 in"
"1.50 in Plate Steel, 15.75 in X 8.66 in"
"1.50 in Plate Steel, 17.99 in X 17.99 in"
"1.50 in Plate Steel, 18.00 in X 18.00 in"
"1.50 in Plate Steel, 9.00 in X 4.00 in"
"1.6mm THK, CL 150, FF, COMPRESSED FIBER FULL FACE GASKET"
"1.6mm THK, CL 150, FF, ELASTOMERIC FULL FACE GASKET"
"1.6mm THK, CL 150, FF, NON-ASBESTOS, INORGANIC FIBER FULL FACE GASKET"
"1.6mm THK, CL 150, RF, COMPRESSED FIBER FLAT RING GASKET"
"1.6mm THK, CL 300, RF, COMPRESSED FIBER FLAT RING GASKET"
"1.75/2.33 MVA, 4.16kV-0.6kV  TRANSFORMER"
1/2 in Hex Nut
"1/2 in Stop Plate, Top End of Steel Section"
"1/2 in U-bolt, Standard"
"1/2 INCH 0.083"" MIN WALL TUBE,  A213 TP304 SMLS"
"1/2"" DIA. ROD x 300 LONG. C/W 3 HEX. NUTS"
1/2x16x16 in Stop Plate
1/2x2x1 in Stop Plate
"10 in U-bolt, Standard"
10 T MONORAIL HOIST
"10"" Trun Dia C.S, 300(SQ.) x10 C.S Plate"
"10/13.3/15 MVA, 13.8kV-4.16kV  TRANSFORMER"
"1000 PSI, THRD, 3-PIECES BALL VALVE"
"1001, Restraint End Attachment, R/5, Size 50"
"1001, Restraint End Attachment, R/5, Size 6"
100W 25deg STANCHION MOUNT
100W HPS 25deg STANCHION MOUNT
100W HPS CEILING MOUNT
100W HPS WALL MOUNT
101-TE-1232
103-LIT-3030
103-LIT-3031
103-LIT-3126
103-LIT-3130
103-LIT-3131
103-LIT-3230
103-LIT-3231
103-PIT-3140
103-PR-1102B-103-FM-0157-05
103-PSV-3260
103-TE-3131
103-TE-3231
103-TG-3031
103-TG-3132
103-TG-3232
104-LIT-4195
10625-D-01
10625-D-02
10625-D-04
10625-D-05
107-LIT-7030
107-LIT-7031
107-TE-7032
107-TG-7030
108-LIT-8501
"10-BU-78001, 600V MCC"
10-CR-05001 Disconnec Switch
10-CR-09001 Disconnect Switch
10-LP-XXXX
10-VR-03001_PIPE SUPPORT
10-XFMR-64036
"11 mm, 7/16"" NPS 6 sch 80) thick by 8"" (200 mm).wear plate"
112.5 KVA EHT TRANSFORMER
11-SK-51101 BEACION
11-SK-51101 DETECTOR
11-SK-51101 HORN
11-SK-51201 BEACION
11-SK-51201 DETECTOR
11-SK-51201 HORN
12
"12 in U-bolt, Standard"
"12 Trun Dia C.S, 350(SQ.) x10 C.S Plate"
"12"" Pipe SCH, 450x450x20 Carbon Steel Plate, 12"" Trunnion SCH"
"12"" Trun Dia C.S, 350(SQ.) x10 C.S Plate"
"12.7 MM x 57.15 MM MACHINE BOLTS - SUPPLIED W/ VALVE, A320 GR L7"
"12.7 MM x 63.5 MM MACHINE BOLTS - SUPPLIED W/ VALVE, A320 GR L7"
"12.7 MM x 63.5 MM STUD BOLTS, W/ 2 HEAVY HEX HEAD NUTS AND WASHERS, A307 GR B / A563 GR B"
"12.7 MM x 63.5 MM STUD BOLTS, W/2 HEAVY HEX HEAD NUTS, A193 GR B7 / A194 GR 2H"
"12.7 MM x 63.5 MM STUD BOLTS, W/2 HEAVY HEX HEAD NUTS, A320 GR L7 / A914 GR 7"
"12.7 MM x 63.5 MM STUD BOLTS, W/2 HEAVY HEX HEAD NUTS, A453 GR 660 / A453 GR 660"
"12.7 MM x 69.85 MM STUD BOLTS, W/ 2 HEAVY HEX HEAD NUTS AND WASHERS, A307 GR B / A563 GR B"
"12.7 MM x 69.85 MM STUD BOLTS, W/2 HEAVY HEX HEAD NUTS, A320 GR L7 / A914 GR 7"
"12.7 MM x 69.85 MM STUD BOLTS, W/2 HEAVY HEX HEAD NUTS, A453 GR 660 / A453 GR 660"
"12.7 MM x 76.2 MM STUD BOLTS, W/2 HEAVY HEX HEAD NUTS, A193 GR B7 / A194 GR 2H"
"12.7 MM x 76.2 MM STUD BOLTS, W/2 HEAVY HEX HEAD NUTS, A320 GR L7 / A194 GR 7"
"12.7 MM x 76.2 MM STUD BOLTS, W/2 HEAVY HEX HEAD NUTS, A453 GR 660 / A453 GR 660"
120/208VAC AC DISTIBUTION PANEL
120/208VAC AC DISTRIBUTION PANEL
1200A DIST PNL
120V 2 POLE 3 WIRE INDUSTRIAL WEATHERPROOF SINGLE GANG RECEPTACLE
120V Receptacle
120VAC UPS DISTRIBUTION PANEL - MAIN
120VAC UPS DISTRIBUTION PANEL - SUB PANEL 1
120VAC UPS DISTRIBUTION PANEL - SUB PANEL 2
125V 2 POLE 3 WIRE HAZARDOUS SINGLE GANG RECEPTACLE
125V DC STATION SERVICE PANEL
125VDC DISTRIBUTION PANEL
12-US-5501
13.8KV-4.16KV
"14- PT-1250 , Pressure Transmitter Smart"
"140X300X10 Thk Plate, 165X300X10 Thk Plate"
"140X450X10 Thk Plate, 165X450X10 Thk Plate"
"140X600X10 Thk Plate, 165X600X10 Thk Plate"
"144X300X6 Thk Plate, 100X300X6 Thk Plate"
"144X450X6 Thk Plate, 100X450X6 Thk Plate"
145X75X10 Thk. Plate
"14-AP-2301 , Analyzer Point"
"14-FE -1106, Flow Element Orifice Plate"
"14-FE -1206, Flow Element Orifice Plate"
"14-FE -1306, Flow Element Orifice Plate"
"14-FE-1122, Flow Element Orifice Plate"
"14-FE-1123, Flow Element Orifice Plate"
"14-FE-1135, FLOW ELEMENT ORIFICE PLATE"
"14-FE-1208 ,FLOW ELEMENT ORIFICE PLATE"
"14-FE-1308, Flow Element Orifice Plate"
"14-FT-1103, Flow Transmitter Coriolis"
"14-FT-1105 , FLOW TRANSMITTER VORTEX"
"14-FT-1114, Flow Transmitter Coriolis"
"14-FT-1120 , Flow Transmittor Vortex"
"14-FT-1203, Flow Transmitter Coriolis"
"14-FT-1214, Flow Transmitter Coriolis"
"14-FT-1303, Flow Transmitter Coriolis"
"14-FT-1312, Flow Transmitter Coriolis"
"14-FT-1404, Flow Transmitter Coriolis"
"14-FT-1417, Flow Transmitter Vortex"
"14-FT-1418 , Flow Transmitter Vortex"
"14-FT-1504, Flow Transmitter Coriolis"
"14-FT-1509 , FLOW TRANSMITTER VORTEX"
"14-FT-1517,Flow Trannsmitter Vortex"
"14-FT-1518, Flow Transmitter Vortex"
"14-FT-1604, Flow Transmitter Coriolis"
"14-FT-1617, Flow Transmitter Vortex"
"14-FT-2104,FLOW TRANSMITTER VORTEX"
"14-FV-1106,Flow Valve"
"14-FV-1114, Flow Valve"
"14-FV-1115, Flow Valve"
"14-FV-1206, Flow Valve"
"14-FV-1215, Flow Valve"
"14-FV-1306, Flow Valve"
"14-FV-1308, Flow Valve"
"14-FV-1314, Flow Valve"
"14-FV-1315, Flow Valve"
"14-FV-2107, FLOW VALVE"
"14-HV-1135, Hand Valve Ao"
"14-HV-1152, Hand Valve Ao"
"14-HV-1252, Hand Valve Ao"
"14-HV-1352, Hand Valve Ao"
"14-LV-112A,LEVEL VALVE"
"14-LV-1208, LEVEL VALVE"
"14-LV-1308, Level Valve"
"14-PCV-1151, Pressure Regulator"
"14-PDE-1642 , PRESSURE DIFFERENTIAL ELEMENT SMART"
"14-PDG-1109, Pressure Differential Gauge"
"14-PDG-1209, Pressure Differential Gauge"
"14-PDG-1309, Pressure Differential Gauge"
"14-PDT-1129, Pressure Differential Transmitter Smart"
"14-PDT-1142, Pressure Differential Transmitter Smart"
"14-PDT-1229, Pressure Differential Transmitter Smart"
"14-PDT-1242 , Pressure Differential Transmitter Smart"
"14-PDT-1329, Pressure Differential Transmitter Smart"
"14-PDT-1342 , Pressure Differential Transmitter Smart"
"14-PDT-1344, Pressure Differential Transmitter Smart"
"14-PDT-1428, Pressure Differential Transmitter Smart"
"14-PDT-1442, Pressure Differential Transmitter Smart"
"14-PDT-1528, Pressure Differential Transmitter Smart"
"14-PDT-1542 , Pressure Differential Transmitter Smart"
"14-PDT-1628, Pressure Differential Transmitter Smart"
"14-PDT-1642 , Pressure Differential Transmitter Smart"
"14-PG-1105, Pressure Gauge"
"14-PG-1106, Pressure Gauge"
"14-PG-1118, Pressure Gauge"
"14-PG-1125, Pressure Gauge"
"14-PG-1136, Pressure Gauge"
"14-PG-1138, Pressure Gauge"
"14-PG-1139 , PRESSURE GAUGE"
"14-PG-1159 ,Pressure Gauge"
"14-PG-1205, Pressure Gauge"
"14-PG-1206, Pressure Gauge"
"14-PG-1305, Pressure Gauge"
"14-PG-1306, Pressure Gauge"
"14-PG-1345, Pressure Gauge"
14-PP-1
"14-PSV-1188, Pressure Safety Valve"
"14-PSV-1189, Pressure Safety Valve"
"14-PSV-1195, Pressure Safety Valve"
"14-PSV-1198, Pressure Safety Valve"
"14-PSV-1295, Pressure Safety Valve"
"14-PSV-1395, Pressure Safety Valve"
"14-PT-1114, Pressure Transmitter Smart"
"14-PT-1124, Pressure Transmitter Smart"
"14-PT-1132, Pressure Transmitter Smart"
"14-PT-1135 , PRESSURE TRANSMITTER"
"14-PT-1150, Pressure Transmitter Smart"
"14-PT-1214, Pressure Transmitter Smart"
"14-PT-1314, Pressure Transmitter Smart"
"14-PT-1349, Pressure Transmitter Smart"
"14-PT-1419, Pressure Transmitter Smart"
"14-PT-1424, PRESSURE TRANSMITTER SMART"
"14-PT-1441, Pressure Transmitter Smart"
"14-PT-1443, Pressure Transmitter Smart"
"14-PT-1450, Pressure Transmitter Smart"
"14-PT-1519, Pressure Transmitter Smart"
"14-PT-1521, Pressure Transmitter Smart"
"14-PT-1523, Pressure Transmitter Smart"
"14-PT-1541,Pressure transmitter smart"
"14-PT-1550, Pressure Transmitter Smart"
"14-PT-1619, Pressure Transmitter Smart"
"14-PT-1621, Pressure Transmitter Smart"
"14-PT-1623, PRESSURE TRANSMITTER SMART"
"14-PT-1641, Pressure Transmitter Smart"
"14-PT-1643, Pressure Transmitter Smart"
"14-PT-1650 , Pressure Transmitter Smart"
"14-PT-3450, Pressure Transmitter Smart"
"14-PT-9140, PRESSURE TRANSMITTER SMART"
"14-PV-1114, Pressure Valve"
"14-PV-1133B, Pressure valve"
"14-PV-1142A, Pressure Valve"
"14-PV-1142B, Pressure Valve"
"14-PV-1142C, Pressure Valve"
"14-PV-1150, Pressure Valve"
"14-PV-1214, Pressure Valve"
"14-PV-1242A, Pressure Valve"
"14-PV-1242B, Pressure Valve"
"14-PV-1242C, Pressure Valve"
"14-PV-1250, Pressure Valve"
"14-PV-1314, Pressure Valve"
"14-PV-1342A, Pressure Valve"
"14-PV-1342B, Pressure Valve"
"14-PV-1342C, Pressure Valve"
"14-PV-1350, Pressure Valve"
"14-PVX-1150,SILENCER"
"14-PVX-1250,SILENCER"
"14-PVX-1350,SILENCER"
"14-RO-1101, Flow Restriction Orifice"
"14-RO-1104, Flow Restriction Orifice"
"14-RO-1105 , Flow Restriction Orifice"
"14-RO-1107, Flow Restriction Orifice"
